,0
0,解散
1,注销
2,停牌
3,大跌
4,跌停
5,抛售
6,减持
7,披露
8,收购
9,认购
10,并购
11,下跌
12,发债
13,转让
14,抵押
15,债务
16,贷款
17,融资困难
18,融资渠道单一
19,融资成本
20,借款
21,负债
22,流动性风险
23,流动性不足
24,现金流枯竭
25,坏账准备
26,资金减值
27,受阻
28,断裂
29,紧张
30,破产
31,偿债
32,破产清算
33,债务重组
34,兼并重组
35,处置债务
36,停业
37,爆雷
38,资产负债率
39,短期债务
40,缺钱
41,收紧
42,异常
43,负值
44,限债
45,赔付
46,跑路
47,携款
48,纠纷
49,诉称
50,追讨
51,起诉
52,不正当
53,不法
54,劳务纠纷
55,拖欠
56,欠薪
57,诉讼
58,开庭
59,审理
60,案件
61,法院
62,庭审
63,驳回
64,审计
65,处罚
66,赔偿
67,过错
68,失信
69,负面
70,严正声明
71,维权
72,欠税
73,偷税
74,漏税
75,编造
76,编数据
77,伪造
78,谣言
79,虚假
80,暗箱操作
81,挂证
82,无社保
83,清算
84,结算
85,黑名单
86,侵犯
87,罚款
88,假冒
89,冒充
90,薪酬调整
91,解雇
92,违纪行为
93,涉嫌
94,违纪
95,违法
96,违反
97,受贿
98,涉案
99,索贿
100,案发
101,反腐
102,谋取
103,谋利
104,贪污
105,虚构
106,非法
107,审查
108,出事
109,调查
110,监察
111,逮捕
112,公诉
113,被查
114,判决
115,判刑
116,双开
117,撤职
118,处分
119,撤销
120,辞职
121,辞任
122,辞去
123,离职
124,辞呈
125,调任
126,担任
127,交叉任职
128,混乱
129,不严
130,经营更变
131,变动
132,股权变动
133,注册资本更变
134,股权结构
135,股权转让
136,巨额
137,大额
138,股权穿透
139,全资
140,担保
141,虚化
142,挪用
143,转移
144,非正常转移
145,资金混用
146,交叉持股
147,暂停工程
148,骗取
149,停限产
150,停产
151,限产
152,坍塌
153,倒塌
154,不合格
155,掺杂
156,摔断
157,缺陷
158,破裂
159,垮塌
160,浸水
161,隐患
162,不达标
163,鉴定报告
164,死
165,事故
166,受伤
167,伤亡
168,抢救
169,生命危险
170,安全责任
171,涉事
172,自杀
173,失火
174,爆炸
175,扑救
176,救援
177,被困
178,灭火
179,疏漏
180,弄虚作假
181,造假
182,放任不管
183,流于形式
184,管理混乱
185,把关不严
186,下陷
187,霉变
188,裂纹
189,超载
190,脱落
191,无力进货
192,违约
193,违规
194,整顿
195,污染
196,扬尘
197,渣土
198,带泥上路
199,噪声
200,扰民
201,投诉
202,停止执业
203,降低资质
204,清出
205,刑责
206,批评
207,扣分
208,惩戒
209,严惩不贷
210,责令
211,退市
212,亏损
213,损失
214,停工
215,恶化
